country,Region,Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),International trade: Balance (million US$),Population growth rate (average annual %),Urban population (% of total population),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita)
Bangladesh,SouthernAsia,164670,1265,101.7,194466,6.6,1207.9,15.5,28.1,56.3,40.6,19.1,40.3,4,-16593,1.2,34.3,2.2,28.4/7.3,151,11,73.2/0.5,1438
Barbados,Caribbean,286,664.5,91.9,4385,0.9,15429.4,1.7,12.1,86.2,2.8,19.3,77.9,11.3,-1104,0.3,31.5,1.8,19.1/21.0,56,14.7,1.3/4.5,2
Belarus,EasternEurope,9468,46.7,87,54609,-3.9,5750.8,7.5,38.9,53.6,9.6,32,58.4,0.5,-4050,~0.0,76.7,1.6,16.7/21.3,25,42.5,63.5/6.7,155
Belgium,WesternEurope,11429,377.5,97.3,455107,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,25321,0.6,97.9,1.8,17.1/24.6,37,22.6,93.4/8.3,520
Belize,CentralAmerica,375,16.4,99.2,1721,1.2,4789.4,14.6,18.5,66.9,16.1,15.9,67.9,11.5,-706,2.2,44,2.6,31.4/6.2,117,60.1,0.5/1.4,9
Benin,WesternAfrica,11176,99.1,99.5,8476,5.2,779.1,23.2,24.9,51.9,43.2,10.2,46.6,1,-2220,2.8,44,5.2,42.7/5.0,88,38.7,6.3/0.6,96
Bermuda,NorthernAmerica,61,1227,91.4,5853,0.4,94399.9,0.7,5.3,94,1.6,10.3,87.6,6.7,-963,-0.6,100,1.5,14.8/24.9,72,20,0.6/9.2,1
Bhutan,SouthernAsia,808,21.2,113.1,2074,5.2,2677.1,17.2,43.9,38.8,56.6,9.7,33.7,2.4,-1072,1.6,38.6,2.2,26.5/7.3,71,72,1.0/1.3,75
Bolivia (Plurinational State of),SouthAmerica,11052,10.2,100.2,32998,4.8,3076.8,12.6,31,56.5,29.5,21.1,49.4,3.8,-1405,1.6,68.5,3,31.6/9.5,231,50.8,20.4/1.9,962
"Bonaire, Sint Eustatius and Saba",Caribbean,25,77.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.2,74.7,-99,-99,56,-99,0.3/13.3,0
Bosnia and Herzegovina,SouthernEurope,3507,68.8,96.4,16251,3.1,4265,7.3,26.5,66.2,18,30.4,51.7,25.4,-3803,-1,39.8,1.3,14.1/23.4,91,42.7,22.2/5.8,252
Botswana,SouthernAfrica,2292,4,97.7,14391,-0.3,6360.6,2.4,33.4,64.2,25.7,14.9,59.4,18.6,1218,1.8,57.4,2.9,31.4/6.4,28,19.3,7.0/3.2,47
Brazil,SouthAmerica,209288,25,96.6,1772591,-3.8,8528.3,5.2,22.7,72,15.2,21.5,63.2,12.4,47683,0.9,85.7,1.8,21.7/12.6,990,59.2,529.8/2.6,10948
British Virgin Islands,Caribbean,31,208,97.1,908,-1.1,30144.5,1,11.1,87.8,...,...,...,-99,-444,2,46.2,...,.../...,67,24.1,0.2/6.0,0
Brunei Darussalam,South-easternAsia,429,81.3,106,12930,-0.6,30552.7,1.1,60.2,38.7,0.6,19.4,80.1,2.1,2197,1.4,77.2,1.9,23.0/8.0,193,72.1,9.1/21.8,679
Bulgaria,EasternEurope,7085,65.3,94.6,48953,3,6846.8,5.1,27.6,67.2,6.5,29.4,64.1,8.1,-2787,-0.6,73.9,1.5,14.2/27.7,104,35.1,42.4/5.9,474
Burkina Faso,WesternAfrica,19193,70.2,99.5,11065,4.1,611.1,34.5,21.8,43.7,80,4.9,15.1,2.9,-1680,3,29.9,5.6,45.2/3.9,31,19.8,2.8/0.1,123
Burundi,EasternAfrica,10864,423.1,96.9,2735,-4.1,244.6,36.3,13.9,49.8,91.1,2.6,6.3,1.7,-502,3,12.1,6,45.0/4.4,61,10.6,0.4/~0.0,56
Cabo Verde,WesternAfrica,546,135.6,99.3,1603,1.5,3080.2,9.5,19.8,70.7,27.2,11.5,61.3,10.5,-455,1.2,65.5,2.5,30.2/6.9,65,22.1,0.5/1.0,2
Cambodia,South-easternAsia,16005,90.7,95.3,18050,7,1158.7,28.2,29.4,42.3,42.4,19.6,38,0.3,-2109,1.6,20.7,2.7,31.3/7.1,255,54.3,6.7/0.4,178
Cameroon,MiddleAfrica,24054,50.9,100.2,28416,5.8,1217.3,22.7,28.3,49.1,61.8,8.7,29.5,4.6,-2768,2.7,54.4,5,42.7/4.8,775,40.3,7.0/0.3,408
Canada,NorthernAmerica,36624,4,98.5,1552808,0.9,43205.6,1.8,28.6,69.6,2.1,19.5,78.4,7.1,-14043,1,81.8,1.6,16.0/23.5,122,38.2,537.2/15.1,19276
Cayman Islands,Caribbean,62,256.5,100.4,3726,0.7,62132,0.3,7.5,92.2,0.8,15.5,83.6,6.3,-972,1.5,100,...,18.3/6.7,74,52.9,0.5/9.2,-99
Central African Republic,MiddleAfrica,4659,7.5,97.3,1633,4.8,333.2,34.9,24.8,40.4,72.2,4.3,23.4,6.9,66,0.4,40,5.1,43.2/5.5,60,35.6,0.3/0.1,19
Chad,MiddleAfrica,14900,11.8,100.2,10009,6.6,713,25.4,39,35.6,76.6,2,21.4,5.8,619,3.3,22.5,6.3,47.1/4.0,43,4,0.7/~0.0,288
Channel Islands,NorthernEurope,165,870.1,98.4,-99,-99,-99,-99,-99,-99,5,24.5,70.5,8.7,-99,0.5,31.5,1.5,14.5/24.5,-99,4.2,-99,-99
Chile,SouthAmerica,18055,24.3,98.2,240796,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,6.8,1080,0.9,89.5,1.8,20.3/16.0,197,23.4,82.6/4.7,540
"China, Hong Kong SAR",EasternAsia,7365,7014.2,85.1,309236,2.4,42431,0.1,7.2,92.7,0.2,14.9,84.9,3.5,-30536,0.6,100,1.2,11.5/23.5,64,-99,46.2/6.4,-99
"China, Macao SAR",EasternAsia,623,20821.6,92.3,46178,-20.3,78586.4,-99,6.6,93.4,0.3,17.7,82.1,3.2,-7668,2.3,100,1.2,13.3/16.1,11,-99,1.3/2.2,2
China,EasternAsia,1409517,150.1,106.3,11158457,6.9,8109.1,9.2,41.1,49.7,27,23.9,49.1,4.6,530285,0.5,55.6,1.6,17.7/16.2,1080,22,10291.9/7.5,101394
Colombia,SouthAmerica,49066,44.2,96.8,292080,3.1,6056.1,6.8,34,59.2,13.5,16.6,69.9,10.5,-13786,1,76.4,1.9,23.5/11.6,835,52.8,84.1/1.8,5380
Comoros,EasternAfrica,814,437.4,101.8,1079,4.8,1368.9,30.7,4,65.3,62,5.2,32.8,20,-173,2.4,28.3,4.6,39.8/4.9,114,20.1,0.2/0.2,3
Congo,MiddleAfrica,5261,15.4,100.1,8493,1.2,1838.1,4.7,70,25.3,40.7,25.8,33.5,11.5,-7253,2.6,65.4,4.9,42.3/5.2,134,65.4,3.1/0.7,648
Cook Islands,Polynesia,17,72.4,97.4,294,5.5,14118.7,8.1,9,82.9,4.3,11.7,84,8.2,-84,-1.2,74.5,2.6,26.9/14.2,75,62.9,0.1/3.4,-99
